country_code,is_eu_member,election_date,inflation_12m_avg,asylum_per_100k,ukraine_tp_per_100k,migration_pressure_index,unemployment_rate,gdp_growth,govt_change
LV,1,2022-10-01,14.883333333333333,0.056510518153470836,0.09063007628386832,1.341888102149217,6.925,-0.1,0
MT,1,2017-06-03,1.008333333333333,0.8076190476190476,0.0,0.7282780868615106,4.158333333333333,1.2,0
NL,1,2017-03-15,0.3416666666666666,0.2181891796783504,0.0,-0.22758158514195959,6.7250000000000005,0.6,0
NL,1,2021-03-17,1.241666666666667,0.14812237649291876,0.0,-0.3412066916285835,5.008333333333334,1.0,0
PL,1,2015-10-25,-0.7083333333333334,0.053478941295357046,0.0,-0.4946869406720963,7.875,1.3,1
PL,1,2019-10-13,1.8333333333333333,0.017367689282531934,0.0,-0.5532474096642893,3.408333333333333,0.8,0
PT,1,2015-10-04,0.41666666666666674,0.01654622394486798,0.0,-0.5545795538784347,13.233333333333333,0.2,0
PT,1,2019-10-06,0.37500000000000006,0.03154789047191773,0.0,-0.5302518283491036,6.633333333333333,0.4,0
PT,1,2022-01-30,1.2083333333333335,0.029719456818902937,0.0,-0.5332169410570105,6.641666666666666,2.0,0
RO,1,2016-12-11,-1.05,0.018926565180130042,0.0,-0.5507194301959633,7.191666666666666,0.2,1
RO,1,2020-12-06,2.35,0.0630146519930479,0.0,-0.47922318188488155,6.041666666666667,4.9,0
SE,1,2018-09-09,1.9333333333333336,0.4712831965875915,0.0,0.18285293327516258,6.483333333333333,-0.2,0
SE,1,2022-09-11,6.449999999999999,0.4322482861709442,0.013968182775776414,0.4018520857584913,7.675000000000001,-0.5,1
SI,1,2018-06-03,1.6333333333333335,0.22038047685400217,0.0,-0.22402802819904713,5.791666666666667,1.5,1
SI,1,2022-04-22,4.216666666666667,0.657039265748536,0.14023481619985004,3.3182719454942147,4.4,-0.2,1
SK,1,2016-03-06,-0.3333333333333333,0.009767331115473442,0.0,-0.5655726687999604,10.983333333333334,0.0,0
SK,1,2020-02-29,2.9249999999999994,0.007878527037913854,0.0,-0.568635682305473,5.766666666666667,0.6,1
